access,aerial_photograph,architecture,botany_chk,bridge_chk,building_chk,church_chk,dam_chk,chipped_stone,condition,description_environment,description_position,easting,elevation,entered_by,entered_date,extraction_chk,geomorphology_chk,ground_stone_chk,hellenistic_or_roman_chk,iron_age_chk,intensive_survey_zone,kiln_chk,lithics_chk,locality,mine_adit_chk,medieval_or_ottoman_chk,modern_chk,northing,other_structure_chk,plot_village,posi_no,pottery,pottery_chk,prehistoric_chk,recorded_by,recorded_date,posi_references,road_chk,rock_chk,settlement_chk,shrine_chk,sheet_map_1_5000,village_plan,sia_number,sketch_chk,slag,slag_chk,source,summary,team_leader,threshing_floor_chk,tile,tomb_chk,topography,vegetation,view_chk,village,visibility_percent
Dirt track from road between Ayios Yeoryios road and TS10,,Some,No,No,No,No,No,None,good,"ESE-facing 20 degree bedrock slope. Sparse mixed vegetation. Good view of surrounding area including Lagoudhera valley (TS10, TS02). Slightly above level of road leading to open cast mine. Edge of mine c. 100 m SW.",Small platform 270 cm X 280 cm (downslope). Angular basalt retaining wall (downslope side) built onto bedrock crudely made 2 courses of cobble-boulder sized stones. Top of wall not flat. Pebble sized fill behind wall. Very flat platform surface. Cut into bedrock at back.,502319.00,614.00,ABL,21/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Alestos,No,No,No,3876788.00,Yes,,TP185,None,No,No,RAB,20/7/2003 00:00:00,,No,No,No,No,29-XXVI,,,No,None,No,GPS,Small platform on slope (east-southeastfacing slope),AGR,No,None,No,Southeast facing bedrock slope,"Heath, wild grasses, Spiny burnet, unidentified spiny plant and pine",No,Xyliatos,90.00
Dirt track from road between Ayios Yeoryios road and TS10,,None,No,No,No,No,No,None,"Good, but very unclear in places.",The path runs along a natural break in the rocky slope. The vegetation is growing in pockets between the rocks.,"A small path running along the SE facing rocky slope of Alestos from NE and slightly uphill in a W direction. The path is on a natural break in the rocky slope. The path goes in the direction of the adit with 2 entrances, TP184. In the W it runs towards the modern spoil heap from the Alestos open cast mining.",502342.00,596.00,RAB,21/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Alestos,No,No,No,3876777.00,No,,TP186,None,No,No,CWA,20/7/2003 00:00:00,,Yes,No,No,No,29-XXVI,,,Yes,None,No,GPS,Path on slope of 28 degrees on SE side of Alestos.,AGR,No,None,No,SSE facing slope of 28 degrees. Bare bedrock.,"Heath, wild grasses, Spiny burnet, pine, feral olive",No,Xyliatos,70.00
"Main road just south of Pano Phlasou, east on a dirt tract just past animal pens on the hill at game reserve sign; follow terraces around spur",,Abundant,No,No,No,No,Yes,None,Eastern part has begun to erode away. Supporting sediment at bottom is also eroding away.,"Part of a slope that has been made into broad terraces. Only riser on spur supported by anthropogenic retaining wall - others consist of sediment or bedrock. North of TP135, TP177, TP176, and on the other side of the ridge from them. The platform that it supports is semi-circular.","Part of a semi-circular retaining wall composed of large and small chunks of bedrock as well as some ground stone tools made of river cobbles. There is white, rust, mustard, and black lichen and moss on the stones and mortar. The farmer who works this ridge says the semi-circular platform used to be a threshing floor, but they moved the stones out of it, presumably to cultivate the land. A 45 year old woman cannot remember this threshing floor in use, but she can remember the use of the bigger one (TP176) which is on the top of the hill.",489970.00,356.00,ATB,27/7/2003 00:00:00,Yes,No,Some,No,No,Karkotis,No,No,Koutroullis,No,Yes,Yes,3879680.00,No,,TP187,None,No,No,ATB,20/7/2003 00:00:00,,No,No,No,No,28-XX,,TS06,Yes,None,No,Image Print,Stone-built retaining wall and threshing floor,ATB,Yes,None,No,"On north side of spur, midway down slope","Thistle, wild grasses, asphodel, hawthorn, olive terraces to north",No,Kato Phlasou,90.00
Road.,,Some,No,No,No,No,No,Unclear,Very good - stable.,Open forest. Located in gully at the base of mountain slope to the north.,Stone masonry only intact on western side. Eastern side may have eroded away or been destroyed. 15 m long and width is unknown. Six rectangular openings 45 x 15 cm. Possibly for drainage. Appears to have been filled up so it is not possible to determine exact junction. Lichen and moss growing on it. Possibly part of road from 1920's - 1930's.,496230.00,550.00,TNF,27/7/2003 00:00:00,No,No,Unclear,No,No,Asinou,No,No,Moutti tou Dhia,No,No,Yes,3877248.00,Yes,,TP188,Unclear,No,No,CLT,17/7/2003 00:00:00,,Yes,No,No,No,28-XXXI,,,Yes,Unclear,No,Image Print,Road supporting structure in gully.,ESG,No,Unclear,No,Gully,"Pine, wild grasses, cistus and wild garlic.",No,Nikitari,90.00
Road,,Some,No,No,No,No,No,Unclear,Stable.,Open forest spur.,"Rubble located in saddle of spur. These are orientated NS through concentrations of stone arrangement. Aprox. 23 m in length and 10 m width NS. Evidence of forestry practice in area, possible bulldozing.",496179.00,580.00,TNF,27/7/2003 00:00:00,No,No,Unclear,No,No,Asinou,No,No,Khandakia,No,No,No,3877174.00,No,,TP189,Unclear,No,No,CLT,17/7/2003 00:00:00,,No,Yes,No,No,28-XXXI,,,No,Unclear,No,Image Print,Stone arrangement; possible remains of structure.,ESG,No,Unclear,No,Spur,"Cistus, pine and wild grasses",No,Nikitari,70.00
Via dirt track from Ayios Yeoryios to south side of Alestos.,,Some,No,No,No,No,No,Unclear,Poor - damaged by bulldozer but some of the plasterwork is quite good in the lower sections.,Bulldozed terrace below south facing slope on south side of Alestos. Terrace riser faces S and the well is situated in this riser. The terrace has no vegetation around the well.,"Internal wall lining of well, exposed in a bulldozed terrace riser. Stone external wall has been broken away (presumably by the bulldozing?). The lining of the well has a diameter of 135 cm approx. and is visible to a height of 160 cm. Against this and also in section various other parts of the well construction are visible. Boulder size chunks of concrete are on the riser above the well. This section of the bedrock is visible where its been cut to make the well. The fill inside the well is a mixture og soil, pebbles and pottery.",501874.00,512.00,RAB,22/7/2003 00:00:00,No,No,Unclear,Yes,No,Xyliatos,No,No,Litharkies,No,No,No,3876036.00,Yes,,TP191,Some,No,No,ESP,22/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,No,Unclear,No,GPS,"Internal cement lining of well, visible in bulldozed section.",AGR,No,Some,No,On a terrace below a south facing slope.,Almond above well and wild grasses.,No,Xyliatos,90.00
Asinou forestry road heading west to Spilia.,,None,No,No,No,No,No,None,"Excellent view, highly recommended for the fit.","Top of mountain, excellent view all around on a ridge surrounded by pine trees. Trees appear young and likely planted by forestry workers. Cleared area on top with only cistus bushes.","To the northeast is a view of mountains thickly covered in trees, also a small cleared area where Asinou village is, Beyond this open fields, the mesaoria plain, Kyrenia range. To the northwest, two mountains less wooded, you can see Morphou bay, also the coastline of Turkey. To the south you can see the Troodos. 360 degree view.",495797.00,743.00,JPR,23/7/2003 00:00:00,No,No,None,No,No,Asinou,No,No,Pykroathasoudhia,No,No,No,3876466.00,No,,TP192,None,No,No,JPR,23/7/2003 00:00:00,,No,No,No,No,28-XXXI,,,No,None,No,GPS,"View from mountain on all sides, including both Bay of Morphou and Asinou Valley",ESG,No,None,No,On mountain ridge,"Cistus, pine trees, wild grasses",Yes,Nikitari,100.00
Foresty road/firebreak to east of road to Ayios Theodhoros,,None,No,No,No,No,No,None,"Disused, starting to become overgrown. Cut by firebreak on ridgetop.",Path has been terraced into slope. It is cut by the firebreak at the southern end. It runs above a series of gullies and crosses a saddle between ridge slopes. There is a good view from the path to the east over the Mesaoria.,"A path, approx 1m wide, runs NW- SE along the contour of the hill sloping gently.",493481.00,517.00,JOS,27/7/2003 00:00:00,No,No,None,No,No,,No,No,Kankellia,No,Yes,Yes,3878999.00,No,,TP193,None,No,No,JMC,27/7/2003 00:00:00,,Yes,No,No,No,28-XXXVI,,,No,None,No,GPS,Path,SED,No,None,No,Steep hillslope below ridge top. East facing slope,"grasses, cistus, pine, spiny burnet, curry plant, hawthorn.",No,Ayios Theodhoros,20.00
"Difficult, from east of the river - clearing in reeds",,Some,No,No,No,No,Yes,None,"Eearth works, no standing structure","Dense vegetation in river, steep river banks [especially to the south], young pine, hawthborne, and grasses.  Hillslope above river terrace, covered in basalt scree and some gaussian observed. Spiny burnet and lichen on rocks, wild olive.","Alluvial terrace at base of hillslope, river to the east.  Modified terracing, dropping towards river.  Road to river in the NW.  Possible ford replaced by colonial bridge.  New road on east of river.  Path down to the river at SE end of POSI.  Also, hawthorn lined road in the same area.  Lines of hawthorn on hillslope.  SE of road and path end abruptly at river bank.",492700.00,360.00,BLB,28/7/2003 00:00:00,Yes,No,None,No,No,,No,No,Tholos,No,Yes,No,3878830.00,Yes,,TP194,None,No,No,SED,28/7/2003 00:00:00,,Yes,No,Yes,No,,,,Yes,None,No,GPS,"Terraces, possible structures, road and paths [abandoned village?]",SED,No,None,No,"Alluvial terrace, base of hillslope, and to the west of the river Kourdali","Pine, hawthorn, cistus, myrtle, river reeds, grasses [wheat and wild oats], thistles, asphodel",No,Ayios Theodhoros,10.00
Road to the south,,None,No,No,No,No,No,None,Good condition,"The slag heap lies east of the Karkotis. It is below the road that leads to the top of Phoukasa. There is a lot of modern waste, spoil etc above it. It has been cut by bulldozer and it forms a terrace above the old cementation plant.","This is a Roman slag heap, the top of which has been sectioned to form a platform. Layers of slag are clearly visible. The lower part of the slag heap is obscured by scrap metal and other rubbish and we cannot have a clear indication of the hillside. It has also been cut to the North by a road track . Just to the west is the Karkotis river and the cementation plant.(Reentered after server failure etc, MJG 20 June 2004.",489316.00,194.00,LIK,22/7/2003 00:00:00,Yes,No,None,No,No,Karkotis,No,No,Kitromilia,No,No,No,3883585.00,No,,TP172,Some,No,No,LIK,19/7/2003 00:00:00,,No,No,No,No,28-,,TS01,Yes,Abundant,Yes,GPS,Slag heap,LIK,No,Some,No,Side of hill above Karkotis,"Brambles, caper, thorn, scarce cistus",No,Skouriotissa,100.00
Via dirt road on the other side of the gully from Asinou church,,Some,No,No,No,No,No,None,Wall in reasonable repair (what is left of it). Uncertain of full original extent so uncertain now how much has been damaged,"Steep rocky slope with scattered pine trees, wild grasses, asphodel, cistus. Basaltic bedrock and  boulders in scatters across slope. Slope is south-facing.","Protruding bedrock, posisbly cut, topped by 4-5 courses of coarse stack dry stone walling, c. 1.2 m wide. Possibly a terrace wall (or remains thereof) but definitely not a check dam. No lichen. Also possibly a seat due to the cuts in the bedrock. Reentered after server failure, MJG 20 June 2004",495725.00,633.00,TNF,27/7/2003 00:00:00,Yes,No,None,No,No,Asinou,No,No,Moutti tou Dhia,No,No,No,3877780.00,Yes,,TP190,None,No,No,ESP,21/7/2003 00:00:00,,No,No,No,No,28-XXXI,,,Yes,None,No,Image Print,"Small drystone feature, possibly walling of some sort",ESG,No,None,No,Steep rocky slope on south-facing side of mountin in TT495750E,"Asphodel, cistus, grasses, pine, wild olive further away",No,Nikitari,100.00
Dirt track from road between Agios Georgios and TS10,,Some,No,No,No,No,No,None,Fine - stone lining intact,Located in a southeast corner of terraced field with olives next to shallow gully on valley floor.,"Round to oval shaped well, stone lined. About 2.5 m down to water level. Currently capped with concrete and a square metal lid making assessment of well difficult. Diameter: about 85 cm SE - NW, and approx 1 m from NE-SW.",502086.00,487.00,ESP,30/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Litharkies,No,No,No,3876185.00,Yes,,TP195,None,No,No,CWA,27/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,No,None,No,GPS,Stone lined well,AGR,No,None,No,Terraced field on valley floor,"Olives, weeds, wild grasses, hawthorn",No,Xyliatos,50.00
Dirt track from road between Agios Georgios and TS10,,Some,No,No,No,No,No,None,"Good, still being used","Located in the NE corner of a large field with apple trees and olives, surrounded by vines and smaller terraced fields.","Lower part of well cut into bedrock, where the well is round. Upper part is square, partly in concrete, partly stonelined.The well is covered by metal lids. Measurements of the well: 2.45 x 1.8 m. 2.6 m down to the water level. A modern pump is leading into the well.Stone lining is made of diabase river boulders. The owner of the well estimated the well to be about 60 years .",501996.00,498.00,ESP,30/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Litharkies,No,No,No,3876097.00,Yes,,TP196,None,No,No,CWA,28/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,Yes,None,No,GPS,"Well, stone lined and cut into bedrock.",AGR,No,None,No,Terraced fields in valley floor,"Vine, olive, fig",No,Xyliatos,80.00
From the main road north-south from Katydhata to Skouriotissa,,Abundant,No,No,No,No,No,None,Filled with refuse,"At the bottom of a ridge northeast of Archaic sanctuary. A very thin layer of soil on top, cut into the bedrock. On a gentle slope which continues on the other side of the road","Circular hole roughly 1 m deep. But as it is filled with rubbish, it is hard to determine its exact depth. It is roughly 1.15 m in diameter. It is roughly aligned with the other tombs in the area which we POSI'd last season (TP129). There is a spoil heap on its north side, some of which has probably been washed away by water movement.",488878.00,248.00,ATB,3/8/2003 00:00:00,No,No,None,Yes,No,Karkotis,No,No,Pano Limna,No,No,No,3882269.00,No,,TP197,Some,No,No,AJG,27/7/2003 00:00:00,,No,No,No,No,28-XX,,TS15,Yes,None,No,GPS,Possible tomb with spoil heap,ATB,No,None,Yes,At bottom of ridge,"Pine trees, wild grasses, thyme, asphodel",No,Katydhata,50.00
Dirt track to east accessible from Nikitari- Vyzakia road.,,Some,No,No,No,No,Yes,Some,Some tumble.,Lightly forested hillslope with vegetation listed above.,"A series of terraces up north east facing hillslope. 5 in a series. Lichenated, different sizes of rock (some probably rolled from bedrock outcrops). Adapting natural features to the making of terraces. Sketch on reverse of POSI form.",500602.00,440.00,JOS,30/7/2003 00:00:00,Yes,No,None,No,No,,No,No,Moni,No,No,No,3878926.00,No,,TP198,None,No,No,JOS,29/7/2003 00:00:00,,No,No,No,No,,,,Yes,None,No,GPS,Terrace system,SED,No,None,No,Hillslope.,"Pinus brutia (various ages), asphodel, wild oats, cistus, low grasses.",No,Ayios Yeoryios,30.00
Dirt roads to W from Nikitari- Vyzakia road.,,None,No,No,No,No,Yes,None,"Overgrown, not currently used.","Hillslope, below ridge and above gully. Slightly flattened shoulders of slope, lightly forested.","U-shaped indented path (probably from treading), running NW to SE. Sloping gently into small valley, following contours possibly linking Vyzakia and Ayios Yeoryios, estimating from visible path direction. Cartridges and modern rubbish. Possibly still being used by hunters. Direction/route indicated on GPS:500783E, 3878957N, 407 m500818E, 3878944N, 396 m.500727E, 3879000N, 418 m.  500716E, 3879028N, 422 m.",500755.00,422.00,JOS,30/7/2003 00:00:00,Yes,No,None,No,No,,No,No,Moni,No,Yes,Yes,3879000.00,No,,TP199,Some,No,No,JOS,29/7/2003 00:00:00,,Yes,No,No,No,,,,Yes,None,No,GPS,Path (foot/donkey). Traces of old terraces.,SED,No,None,No,Hillslope just below ridge.,"Spiny burnet, cistus, hawthorn, asfodel",No,Ayios Yeoryios,20.00
Forestry road branching southwest off of Asinou / Spilia forestry road.,,Some,No,No,Yes,No,Yes,Unclear,Stable and partially bulldozed / cut by road.,Structures are located on pediment surface sloping southwest above river channel. Overall the structures are located in a river valley on a stable surface.,"Three or four structures with stone foundation. Structure 1 - North, east, south walls of structure are preserved. North wall appears to be preserved and extendsnorthwest 9 metres. There is 1 to 1.5 metres of the structure still standing. The structure is 7 x 5 (where the west wall is 5 metres long)currently visible. Structure 2 - approximately 5 x 5 metres. Walls preserved to 80 cm tall. Three pine trees within structure. Structure 3 - ovoid structures 5 x 3 metres. Pit like depression approximately 1 metre in diametre to the east this may be a possible structure or store. Terrace or wall is located to the southeast and only a small amount is visible. Note - Downslope to the north is a terrace wall 4.5 - 5 metres long. Overall the area has been disturbed by road construction and logging activity.See plane table map.",495235.00,649.00,ESG,3/8/2003 00:00:00,No,No,Unclear,Yes,No,Asinou,No,No,Trimitheri,No,Yes,No,3875328.00,No,,TP220,Some,Yes,No,ESG,3/8/2003 00:00:00,,No,No,Yes,No,28-XXXI,,,Yes,Unclear,No,GPS,Three (possibily four) structures located on western sloping slope.,ESG,No,Some,No,Pediment surface near river.,"Pine forest with golden oak, cistus, wild grasses and terebinth.",No,Nikitari,70.00
